CompanyName, CompanyNumber,RegAddress.CareOf,RegAddress.POBox,RegAddress.AddressLine1, RegAddress.AddressLine2,RegAddress.PostTown,RegAddress.County,RegAddress.Country,RegAddress.PostCode,CompanyCategory,CompanyStatus,CountryOfOrigin,DissolutionDate,IncorporationDate,Accounts.AccountRefDay,Accounts.AccountRefMonth,Accounts.NextDueDate,Accounts.LastMadeUpDate,Accounts.AccountCategory,Returns.NextDueDate,Returns.LastMadeUpDate,Mortgages.NumMortCharges,Mortgages.NumMortOutstanding,Mortgages.NumMortPartSatisfied,Mortgages.NumMortSatisfied,SICCode.SicText_1,SICCode.SicText_2,SICCode.SicText_3,SICCode.SicText_4,LimitedPartnerships.NumGenPartners,LimitedPartnerships.NumLimPartners,URI,PreviousName_1.CONDATE, PreviousName_1.CompanyName, PreviousName_2.CONDATE, PreviousName_2.CompanyName,, PreviousName_3.CompanyName,PreviousName_4.CONDATE, PreviousName_4.CompanyName,PreviousName_5.CONDATE, PreviousName_5.CompanyName,PreviousName_6.CONDATE, PreviousName_6.CompanyName,PreviousName_7.CONDATE, PreviousName_7.CompanyName,PreviousName_8.CONDATE, PreviousName_8.CompanyName,PreviousName_9.CONDATE, PreviousName_9.CompanyName,PreviousName_10.CONDATE, PreviousName_10.CompanyName,ConfStmtNextDueDate, ConfStmtLastMadeUpDate
102 COUTURE LTD,10654775,,,GOLDFIELDS HOUSE,18A GOLD TOPS,NEWPORT,SOUTH WALES,,NP20 4PH,Private Limited Company,Liquidation,United Kingdom,,06-03-2017,30,3,30-12-2021,31-03-2020,TOTAL EXEMPTION FULL,03-04-2018,,0,0,0,0,47710 - Retail sale of clothing in specialised stores,,,,0,0,http://business.data.gov.uk/id/company/10654775,,,,,,,,,,,,,,,,,,,,,19-03-2022,05-03-2021
10FOLDUK LTD,14080525,,,20-22 WENLOCK ROAD,,LONDON,,ENGLAND,N1 7GU,Private Limited Company,Active,United Kingdom,,02-05-2022,31,5,02-02-2024,,NO ACCOUNTS FILED,30-05-2023,,0,0,0,0,47710 - Retail sale of clothing in specialised stores,47910 - Retail sale via mail order houses or via Internet,,,0,0,http://business.data.gov.uk/id/company/14080525,,,,,,,,,,,,,,,,,,,,,15-05-2023,
11 DEGREES LIMITED,8829279,,,KENDAL HOUSE MURLEY MOSS BUSINESS PARK,OXENHOLME ROAD,KENDAL,CUMBRIA,ENGLAND,LA9 7RL,Private Limited Company,Active,United Kingdom,,02-01-2014,30,6,31-03-2023,30-06-2021,TOTAL EXEMPTION FULL,07-02-2017,10-01-2016,7,4,0,3,47710 - Retail sale of clothing in specialised stores,,,,0,0,http://business.data.gov.uk/id/company/08829279,,,,,,,,,,,,,,,,,,,,,24-01-2023,10-01-2022
1111 BOT LTD,NI667453,,,UNIT 2A CAMLOUGH RETAIL PARK,CAMLOUGH,NEWRY,,UNITED KINGDOM,BT35 7GB,Private Limited Company,Active,United Kingdom,,04-02-2020,30,6,31-03-2023,30-06-2021,MICRO ENTITY,04-03-2021,,0,0,0,0,47710 - Retail sale of clothing in specialised stores,,,,0,0,http://business.data.gov.uk/id/company/NI667453,,,,,,,,,,,,,,,,,,,,,28-01-2023,14-01-2022
1120 CLOTHING LTD,13501356,,,4 RAMSEY ROAD,,WAKEFIELD,WEST YORKSHIRE,UNITED KINGDOM,WF4 4QG,Private Limited Company,Active - Proposal to Strike off,United Kingdom,,08-07-2021,31,7,08-04-2023,,NO ACCOUNTS FILED,05-08-2022,,0,0,0,0,47710 - Retail sale of clothing in specialised stores,,,,0,0,http://business.data.gov.uk/id/company/13501356,,,,,,,,,,,,,,,,,,,,,21-07-2022,
11SENSEMANDARIN LTD,11490079,,,106 ROBERTS WHARF,NEPTUNE STREET,LEEDS,,ENGLAND,LS9 8DW,Private Limited Company,Active,United Kingdom,,30-07-2018,31,7,30-04-2023,31-07-2021,MICRO ENTITY,27-08-2019,,0,0,0,0,47710 - Retail sale of clothing in specialised stores,,,,0,0,http://business.data.gov.uk/id/company/11490079,,,,,,,,,,,,,,,,,,,,,12-08-2023,29-07-2022
12.23 LTD,13782242,,,71-75 SHELTON STREET,,LONDON,,ENGLAND,WC2H 9JQ,Private Limited Company,Active,United Kingdom,,03-12-2021,31,12,03-09-2023,,NO ACCOUNTS FILED,31-12-2022,,0,0,0,0,47710 - Retail sale of clothing in specialised stores,47721 - Retail sale of footwear in specialised stores,70229 - Management consultancy activities other than financial management,74100 - specialised design activities,0,0,http://business.data.gov.uk/id/company/13782242,,,,,,,,,,,,,,,,,,,,,16-12-2022,
123 PORTOBELLO LTD,3110035,,,21 HEDDON COURT PARADE,COCKFOSTERS ROAD,BARNET,,ENGLAND,EN4 0DB,Private Limited Company,Active,United Kingdom,,04-10-1995,31,8,31-05-2023,31-08-2021,TOTAL EXEMPTION FULL,08-05-2017,10-04-2016,4,4,0,0,47710 - Retail sale of clothing in specialised stores,,,,0,0,http://business.data.gov.uk/id/company/03110035,26-11-2020,APPLETREE (UK) LIMITED,,,,,,,,,,,,,,,,,,,30-09-2023,16-09-2022
12306915 LTD,13758899,,,14 BRUCE STREET,,SCUNTHORPE,LINCOLNSHIRE,UNITED KINGDOM,DN15 7BE,Private Limited Company,Active,United Kingdom,,22-11-2021,30,11,22-08-2023,,NO ACCOUNTS FILED,20-12-2022,,0,0,0,0,47510 - Retail sale of textiles in specialised stores,,,,0,0,http://business.data.gov.uk/id/company/13758899,,,,,,,,,,,,,,,,,,,,,05-12-2022,
123ABC UK LIMITED,SC408121,,,C/O SMITH & WALLACE & CO CHARTERED ACCOUNTANTS,1 SIMONSBURN ROAD,KILMARNOCK,,,KA1 5LA,Private Limited Company,Active,United Kingdom,,26-09-2011,26,3,26-12-2022,31-03-2021,TOTAL EXEMPTION FULL,24-10-2016,26-09-2015,1,1,0,0,47710 - Retail sale of clothing in specialised stores,,,,0,0,http://business.data.gov.uk/id/company/SC408121,,,,,,,,,,,,,,,,,,,,,10-10-2023,26-09-2022
123T LTD,7371802,,,4A LYON ROAD,,LONDON,,,SW19 2RL,Private Limited Company,Active,United Kingdom,,10-09-2010,31,3,31-12-2022,31-03-2021,TOTAL EXEMPTION FULL,08-10-2016,10-09-2015,0,0,0,0,47710 - Retail sale of clothing in specialised stores,,,,0,0,http://business.data.gov.uk/id/company/07371802,01-12-2014,FONFELLA LTD,,,,,,,,,,,,,,,,,,,04-04-2023,21-03-2022
13 NELSON STREET LIMITED,7551006,,,"TRUST HOUSE, GROUND FLOOR ST JAMES BUSINESS PARK",5 NEW AUGUSTUS STREET,BRADFORD,,ENGLAND,BD1 5LL,Private Limited Company,Active,United Kingdom,,03-03-2011,31,3,31-12-2022,31-03-2021,TOTAL EXEMPTION FULL,31-03-2017,03-03-2016,0,0,0,0,47710 - Retail sale of clothing in specialised stores,,,,0,0,http://business.data.gov.uk/id/company/07551006,,,,,,,,,,,,,,,,,,,,,17-03-2023,03-03-2022
13 THE WAREHOUSE LIMITED,8038197,,,319 MARINE ROAD CENTRAL,,MORECAMBE,,,LA4 5AA,Private Limited Company,Active,United Kingdom,,19-04-2012,30,4,31-01-2023,30-04-2021,TOTAL EXEMPTION FULL,17-05-2017,19-04-2016,2,2,0,0,47510 - Retail sale of textiles in specialised stores,,,,0,0,http://business.data.gov.uk/id/company/08038197,,,,,,,,,,,,,,,,,,,,,02-05-2023,18-04-2022
1337CATS LIMITED,14425761,,,SUITE 2 REGENCY HOUSE,HAROLD WOOD,ROMFORD,ESSEX,UNITED KINGDOM,RM3 0BP,Private Limited Company,Active,United Kingdom,,18-10-2022,31,10,18-07-2024,,NO ACCOUNTS FILED,15-11-2023,,0,0,0,0,47710 - Retail sale of clothing in specialised stores,,,,0,0,http://business.data.gov.uk/id/company/14425761,,,,,,,,,,,,,,,,,,,,,31-10-2023,
13702016 LTD,13702016,,,87 MARYLEBONE HIGH STREET,,LONDON,,ENGLAND,W1U 4QU,Private Limited Company,Active,United Kingdom,,25-10-2021,31,10,25-07-2023,,NO ACCOUNTS FILED,22-11-2022,,0,0,0,0,47710 - Retail sale of clothing in specialised stores,,,,0,0,http://business.data.gov.uk/id/company/13702016,05-07-2022,MATCHESFASHION86 LTD,,,,,,,,,,,,,,,,,,,07-11-2022,
13702403 LTD,13702403,,,36 HIGH STREET WIMBLEDON,,LONDON,,ENGLAND,SW19 5BY,Private Limited Company,Active,United Kingdom,,25-10-2021,31,10,25-07-2023,,NO ACCOUNTS FILED,22-11-2022,,0,0,0,0,47710 - Retail sale of clothing in specialised stores,,,,0,0,http://business.data.gov.uk/id/company/13702403,04-07-2022,MATCHESFASHION83 LTD,,,,,,,,,,,,,,,,,,,07-11-2022,
139 APACHE LTD,9637923,,,183 STATION LANE,,HORNCHURCH,ESSEX,UNITED KINGDOM,RM12 6LL,Private Limited Company,Active - Proposal to Strike off,United Kingdom,,15-06-2015,30,6,30-06-2021,30-06-2019,MICRO ENTITY,13-07-2017,15-06-2016,0,0,0,0,47710 - Retail sale of clothing in specialised stores,,,,0,0,http://business.data.gov.uk/id/company/09637923,,,,,,,,,,,,,,,,,,,,,29-06-2022,15-06-2021
13929654 LTD,13945128,,,32 CROMWELL STREET,,GLOUCESTER,GLOUCESTERSHIRE,UNITED KINGDOM,GL1 1RE,Private Limited Company,Active,United Kingdom,,28-02-2022,28,2,30-11-2023,,NO ACCOUNTS FILED,28-03-2023,,0,0,0,0,47710 - Retail sale of clothing in specialised stores,,,,0,0,http://business.data.gov.uk/id/company/13945128,,,,,,,,,,,,,,,,,,,,,13-03-2023,
13COUNTY LTD,13566560,,,WISH WOOD BAYHAM ROAD,BELLS YEW GREEN,TUNBRIDGE WELLS,,ENGLAND,TN3 9AT,Private Limited Company,Active,United Kingdom,,15-08-2021,31,8,15-05-2023,,NO ACCOUNTS FILED,12-09-2022,,0,0,0,0,47710 - Retail sale of clothing in specialised stores,,,,0,0,http://business.data.gov.uk/id/company/13566560,,,,,,,,,,,,,,,,,,,,,28-08-2023,14-08-2022
1415 LIMITED,8344644,,,7 DE LA BECHE STREET,,SWANSEA,ABERTAWE,,SA1 3EZ,Private Limited Company,Active,United Kingdom,,02-01-2013,31,1,31-10-2023,31-01-2022,MICRO ENTITY,30-01-2017,02-01-2016,0,0,0,0,47510 - Retail sale of textiles in specialised stores,,,,0,0,http://business.data.gov.uk/id/company/08344644,,,,,,,,,,,,,,,,,,,,,16-01-2023,02-01-2022
15 BEZANTS LTD,12849856,,,1 ST. MAWGAN CLOSE,,BODMIN,,ENGLAND,PL31 2BW,Private Limited Company,Active,United Kingdom,,01-09-2020,30,9,30-06-2023,30-09-2021,DORMANT,29-09-2021,,0,0,0,0,47710 - Retail sale of clothing in specialised stores,,,,0,0,http://business.data.gov.uk/id/company/12849856,,,,,,,,,,,,,,,,,,,,,14-09-2023,31-08-2022
16 LIONS LTD,12945824,,,14 WOODBRIDGE HILL,,GUILDFORD,SURREY,UNITED KINGDOM,GU2 9AB,Private Limited Company,Active,United Kingdom,,13-10-2020,31,10,31-07-2023,24-10-2021,DORMANT,10-11-2021,,0,0,0,0,47710 - Retail sale of clothing in specialised stores,47890 - Retail sale via stalls and markets of other goods,"47990 - Other retail sale not in stores, stalls or markets",,0,0,http://business.data.gov.uk/id/company/12945824,,,,,,,,,,,,,,,,,,,,,26-10-2022,12-10-2021
16 SQUARES LIMITED,8534608,,,20-22 WENLOCK ROAD,,LONDON,,ENGLAND,N1 7GU,Private Limited Company,Active,United Kingdom,,17-05-2013,31,5,29-02-2024,31-05-2022,MICRO ENTITY,14-06-2017,17-05-2016,0,0,0,0,47710 - Retail sale of clothing in specialised stores,,,,0,0,http://business.data.gov.uk/id/company/08534608,,,,,,,,,,,,,,,,,,,,,22-11-2023,08-11-2022
166 PORTOBELLO ROAD LIMITED,12889183,,,42 LEINSTER GARDENS,,LONDON,,ENGLAND,W2 3AN,Private Limited Company,Active,United Kingdom,,18-09-2020,31,7,30-04-2023,31-07-2021,TOTAL EXEMPTION FULL,16-10-2021,,0,0,0,0,47710 - Retail sale of clothing in specialised stores,,,,0,0,http://business.data.gov.uk/id/company/12889183,,,,,,,,,,,,,,,,,,,,,01-10-2023,17-09-2022
1660 MENSWEAR LTD,11834102,,,212-214 ASHBY HIGH STREET,,SCUNTHORPE,,ENGLAND,DN16 2JR,Private Limited Company,Active,United Kingdom,,19-02-2019,28,2,30-11-2023,28-02-2022,MICRO ENTITY,18-03-2020,,1,1,0,0,47710 - Retail sale of clothing in specialised stores,,,,0,0,http://business.data.gov.uk/id/company/11834102,,,,,,,,,,,,,,,,,,,,,04-03-2023,18-02-2022
1692 FASHION LIMITED,13387244,,,71 QUEEN VICTORIA STREET,,LONDON,,UNITED KINGDOM,EC4V 4BE,Private Limited Company,Active,United Kingdom,,11-05-2021,31,5,11-02-2023,,NO ACCOUNTS FILED,08-06-2022,,0,0,0,0,47710 - Retail sale of clothing in specialised stores,,,,0,0,http://business.data.gov.uk/id/company/13387244,,,,,,,,,,,,,,,,,,,,,24-05-2023,10-05-2022
